© 2000-2023 QIAGEN. All rights reserved.				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Actin Cytoskeleton Signaling	1.1	0.148	1.3	"ACTB,ACTN1,ACTN2,ACTN4,BAIAP2,DIAPH1,IQGAP3,ITGA2B,ITGB2,ITGB4,ITGB5,MPRIP,MYH14,MYH4,MYL6,MYL9,MYLK,MYO10,PAK6,PIK3C3,PIK3CB,PIK3R2,PIP5K1A,PIP5K1B,PIP5K1C,PPP1R12A,PPP1R12B,RAP1A,RAP1B,RAP2A,RDX,RRAS,SOS2,TTN,VAV1,WASF1"
Xenobiotic Metabolism CAR Signaling Pathway	1.09	0.152	0.928	"ALDH1A1,CHST12,CHST4,CHST5,DNAJC7,FMO3,GSTM1,GSTM2,GSTM5,GSTO2,MAP2K3,MAP2K6,MGST1,NDST1,NRIP1,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKCE,PRKCG,PRKCI,RACK1,SULT1A2,SULT1A3/SULT1A4,SULT2B1,UGT1A6,UGT2B17,UGT8"
Prolactin Signaling	1.09	0.168	2.673	"CEBPB,FOS,FYN,JUN,KCNMA1,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Xenobiotic Metabolism Signaling	1.08	0.144	#NUM!	"ALDH1A1,CHST12,CHST4,CHST5,DNAJC7,FMO3,FTL,GSTM1,GSTM2,GSTM5,GSTO2,HDAC5,IL1B,MAP2K3,MAP2K6,MAP3K6,MGST1,NCOR2,NDST1,NQO1,NRIP1,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SULT1A2,SULT1A3/SULT1A4,SULT2B1,SUMO1,UGT1A6,UGT2B17,UGT8"
Neuregulin Signaling	1.08	0.162	2.324	"AKT3,DCN,ELK1,ERBB2,ITGA2B,ITGB2,ITGB4,ITGB5,PIK3R2,PRKCE,PRKCG,PRKCI,PSEN1,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SOS2"
PAK Signaling	1.08	0.162	2.138	"ARHGAP10,ITGA2B,ITGB2,ITGB4,ITGB5,MYL6,MYL9,MYLK,PAK1IP1,PAK6,PDGFRB,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Dermatan Sulfate Biosynthesis	1.08	0.183	1.508	"B3GALT6,B4GALT7,CHPF,CHPF2,CHST12,CHST4,CHST5,NDST1,SULT1A2,SULT1A3/SULT1A4,SULT2B1"
Xenobiotic Metabolism PXR Signaling Pathway	1.07	0.151	-0.928	"ALDH1A1,CDK2,CHST12,CHST4,CHST5,DNAJC7,GSTM1,GSTM2,GSTM5,GSTO2,MGST1,NCOR1,NCOR2,NDST1,NRIP1,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PRKAR1B,PRKCE,PRKCG,PRKCI,SULT1A2,SULT1A3/SULT1A4,SULT2B1,UGT1A6,UGT2B17,UGT8"
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	1.07	0.151	3.528	"AKT3,CDH2,CHUK,ERBB2,FOS,HSF1,JUN,LATS1,MAP2K3,MAP2K6,MEST,MMP1,MMP9,NGFR,OCLN,PARD6B,PDGFRB,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SMURF1,SOS2,TCF3,TGFB1,TNFRSF1B"
Gluconeogenesis I	1.07	0.222	1.633	"ALDOB,ALDOC,ENO1,ENO3,FBP2,MDH1"
Relaxin Signaling	1.05	0.155	2.5	"ADCY3,AKT3,ELK1,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,JUN,MMP9,PDE3A,PDE4D,PDE7A,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,RAP1A,RAP1B,SLC39A7"
Gαq Signaling	1.05	0.153	2.294	"AKT3,CHP1,CHUK,ELK1,EPM2A,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,NFATC3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PRKCE,PRKCG,PRKCI,RHOB,RHOT1"
JAK/STAT Signaling	1.04	0.171	3.207	"AKT3,CEBPB,FOS,JUN,PIAS2,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,STAT4"
BEX2 Signaling Pathway	1.04	0.171	0.535	"AKT3,CDH2,ERBB2,HNF1A,JUN,KLK1,MAP2,NGFR,PPM1L,PPP2CA,PPP2CB,PPP2R1B,TCF3,TCF7L2"
Human Embryonic Stem Cell Pluripotency	1.04	0.149	2.556	"AKT3,AXIN1,ELK1,FZD5,FZD6,FZD7,INHBA,MAP2K3,MAP2K6,NFYC,PDGFRB,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,REST,RIF1,RRAS,SMAD5,SOS2,TBX3,TCF3,TGFB1,WNT2B,WNT5A"
Role of NFAT in Cardiac Hypertrophy	1.04	0.147	2.414	"ADCY3,AKT3,CHP1,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HDAC5,IL6ST,ITPR2,ITPR3,MAP2K3,MAP2K6,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SLC8A1,SOS2,TGFB1"
Cell Cycle: G1/S Checkpoint Regulation	1.04	0.176	1.265	"ATR,CCND2,CDK2,CDKN2A,E2F3,HDAC5,PAK1IP1,RB1,RBL2,SIN3A,TGFB1,TP53"
Dopamine-DARPP32 Feedback in cAMP Signaling	1.03	0.151	2.646	"ADCY3,ATF2,CHP1,CREB3L4,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,GNAS,ITPR2,ITPR3,NOS1,PDIA3,PLCB1,PLCB3,PLCZ1,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B,PRKCE,PRKCG,PRKCI"
Inhibition of Angiogenesis by TSP1	1.03	0.206	1.633	"AKT3,FYN,JUN,MMP9,SDC2,TGFB1,TP53"
Agranulocyte Adhesion and Diapedesis	1.01	0.148	#NUM!	"ACTB,AOC3,CCL20,CCL24,CCR10,CD34,CLDN18,CLDN2,CLDN8,CXCL12,CXCL16,CXCL5,IL18,IL1B,IL1RN,IL33,ITGB2,MADCAM1,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,MYH14,MYH4,MYL6,MYL9,MYO10,RDX,SELL"
GP6 Signaling Pathway	1.01	0.157	2.828	"AKT3,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,FCER1G,FYB1,FYN,ITGA2B,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1B,RASGRP2,VAV1"
Hypoxia Signaling in the Cardiovascular System	1	0.171	1.134	"ATF2,CREB3L4,JUN,LDHA,NQO1,P4HB,SUMO1,TP53,UBE2C,UBE2Q1,UBE2Q2,UBE2S,VHL"
Opioid Signaling Pathway	1	0.143	1.768	"ADCY3,AKT3,ATF2,CREB3L4,ELK1,FGR,FOS,FYN,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HCK,HNF1A,ITPR2,ITPR3,MAP2K3,MAP2K6,NOS1,PENK,PLCB1,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RGS19,RPS6KB2,RRAS,SCN7A,SIGMAR1,SOS2,TCF3,TCF7L2"
Prostanoid Biosynthesis	0.996	0.3	#NUM!	"HPGDS,PTGS2,TBXAS1"
Glycine Betaine Degradation	0.996	0.3	#NUM!	"SDS,SHMT2,SRR"
Melanocyte Development and Pigmentation Signaling	0.991	0.163	1.5	"ADCY3,ATF2,CREB3L4,GNAS,KIT,KITLG,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SOS2"
Role of MAPK Signaling in the Pathogenesis of Influenza	0.975	0.167	#NUM!	"AKT3,ATF2,BAX,LCAT,MAP2K3,MAP2K6,PLA2G12B,PLA2G2A,PNPLA8,PTGS2,RAP1A,RAP1B,RAP2A,RRAS"
PEDF Signaling	0.975	0.167	3.207	"AKT3,CHUK,ELK1,HNF1A,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,TCF12,TCF7L2,TP53"
Creatine-phosphate Biosynthesis	0.971	0.4	#NUM!	"CKB,MAP4K4"
dTMP De Novo Biosynthesis	0.971	0.4	#NUM!	"DHFR,SHMT2"
Folate Polyglutamylation	0.971	0.4	#NUM!	"FPGS,SHMT2"
PTEN Signaling	0.967	0.152	-2.357	"AKT3,CHUK,CSNK2A1,CSNK2A2,FLT1,FOXO3,INPP5B,ITGA2B,ITGB2,ITGB4,ITGB5,MAGI1,MCRS1,NGFR,PDGFRB,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SOS2"
G Beta Gamma Signaling	0.955	0.155	1.213	"AKT3,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Wound Healing Signaling Pathway	0.947	0.143	3.333	"CEBPB,CHUK,CMA1,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,FOS,IFNGR1,IL18,IL1B,IL1R2,IL1RN,IL33,ITGB4,JUN,KRT6B,KRT6C,MAP2K3,MAP2K6,MMP1,MMP10,MMP8,MMP9,NGFR,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TGFB1,TNFRSF1B,TPSAB1/TPSB2,TRAF6"
Paxillin Signaling	0.947	0.159	1.941	"ACTB,ACTN1,ACTN2,ACTN4,ITGA2B,ITGB2,ITGB4,ITGB5,PAK6,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
NF-κB Activation by Viruses	0.936	0.167	1.941	"AKT3,CHUK,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,TNFRSF14"
Melatonin Degradation III	0.936	1	#NUM!	MPO
D-mannose Degradation	0.936	1	#NUM!	MPI
UDP-N-acetyl-D-galactosamine Biosynthesis I	0.936	1	#NUM!	GALE
CLEAR Signaling Pathway	0.917	0.14	0.316	"AKT3,ATF2,ATP6V0A2,ATP6V1G1,CHP1,CREB3L4,FLCN,FLT1,GABARAP,GNB1L,GNPTG,HPS3,ITPR2,ITPR3,NGFR,PDGFRB,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKAA2,PRKAB1,PRKCE,PRKCG,PRKCI,PRKN,RAP1A,RAP1B,RAP2A,RRAS,SLC38A9,TCIRG1,TFE3,TGFB1,TLR8,TNFRSF1B,TP53,UVRAG,YWHAQ,YWHAZ"
MYC Mediated Apoptosis Signaling	0.917	0.18	0.333	"BAX,CASP2,CDKN2A,CHUK,MCL1,NGFR,PRKAR1B,TNFRSF1B,TP53"
Role of IL-17A in Arthritis	0.917	0.175	#NUM!	"ATF2,CCL20,CXCL5,MAP2K3,MAP2K6,MMP1,PIK3C3,PIK3CB,PIK3R2,PTGS2"
Apelin Cardiac Fibroblast Signaling Pathway	0.917	0.217	0.447	"ACE2,AKT3,PRKAA2,PRKAB1,TGFB1"
Neuroinflammation Signaling Pathway	0.91	0.139	2.722	"AKT3,APH1A,ATF2,CALB2,CHP1,CHUK,CREB3L4,CXCL12,CYBB,FOS,GJB1,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,IL18,IL1B,IRF3,JUN,KLK1,MAPT,MMP3,MMP9,MYD88,NCF2,NFATC3,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PRKCG,PSEN1,PSEN2,PTGS2,S100B,TGFB1,TLR8,TRAF3,TRAF6,TYROBP"
Neuropathic Pain Signaling In Dorsal Horn Neurons	0.907	0.158	2.5	"ELK1,FOS,ITPR2,ITPR3,KCNN4,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI"
PI3K/AKT Signaling	0.903	0.145	1.147	"AKT3,CHUK,EPM2A,FOXO3,IL13RA1,IL1R2,IL6ST,INPP5B,ITGA2B,ITGB2,ITGB4,ITGB5,MCL1,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PTGS2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SOS2,TP53,YWHAQ,YWHAZ"
Erythropoietin Signaling Pathway	0.9	0.147	1.961	"AKT3,CCND2,ELK1,FOS,FOXO3,HBG2,IL18,IL1B,IL33,IRS2,ITPR2,ITPR3,JUN,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TGFB1,TP53"
Purine Nucleotides De Novo Biosynthesis II	0.896	0.273	#NUM!	"IMPDH1,PAICS,PPAT"
ERB2-ERBB3 Signaling	0.886	0.169	2.53	"ELK1,ERBB2,JUN,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
Xenobiotic Metabolism AHR Signaling Pathway	0.883	0.161	0.535	"ABCG2,ALDH1A1,GSTM1,GSTM2,GSTM5,GSTO2,HDAC5,IL1B,MGST1,NCOA2,NQO1,NRIP1,SUMO1,UGT1A6"
HOTAIR Regulatory Pathway	0.87	0.147	3.674	"AGO3,AKT3,ELAVL1,ERBB2,EZH2,HNF1A,HSF1,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,PIK3C3,PIK3CB,PIK3R2,RBM38,REST,TCF3,TCF7L2,TGFB1,WNT2B,WNT5A,YY1"
Necroptosis Signaling Pathway	0.857	0.147	3.128	"AXL,CHP1,CHUK,CYBB,DAPK1,IRF3,MLKL,NGFR,PELI1,PLA2G12B,PLA2G2A,RB1,RBCK1,RBL2,RIPK3,TIMM8A,TNFRSF10A,TNFRSF10B,TNFRSF1B,TNIP1,TOMM34,TOMM40L,TP53"
Heparan Sulfate Biosynthesis	0.854	0.159	1.941	"B3GALT6,B4GALT7,CHST12,CHST4,CHST5,DTD2,EXT2,EXTL3,GLCE,NDST1,SULT1A2,SULT1A3/SULT1A4,SULT2B1,TNFAIP6"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	0.854	0.153	0.943	"ADCY3,GCG,GNA14,GNA15,GNAS,GNG11,GNG4,ITPR2,ITPR3,PDIA3,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI,PYY"
FXR/RXR Activation	0.845	0.151	#NUM!	"AHSG,AKT3,APOC4,C3,FABP6,FOXA2,HNF1A,HPR,HPX,IL18,IL1B,IL1RN,IL33,LCAT,LPL,ORM1,PKLR,SERPINA1,TF"
Th1 and Th2 Activation Pathway	0.845	0.145	#NUM!	"APH1A,CD274,CD8A,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ICOSLG/LOC102723996,IFNGR1,IL18,IL33,ITGB2,JUN,MAP2K6,NFATC3,PIK3C3,PIK3CB,PIK3R2,PSEN1,PSEN2,STAT4,TGFB1,VAV1"
Chemokine Signaling	0.842	0.16	1.941	"CCL24,CXCL12,FOS,JUN,MPRIP,PLCB1,PLCB3,PPP1R12A,PPP1R12B,RAP1A,RAP1B,RAP2A,RRAS"
UVB-Induced MAPK Signaling	0.839	0.173	2.333	"FOS,JUN,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,TP53"
Cell Cycle Regulation by BTG Family Proteins	0.836	0.184	#NUM!	"CDK2,E2F3,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RB1"
ERK5 Signaling	0.833	0.162	1.732	"ATF2,CREB3L4,FOS,FOXO3,IL6ST,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,YWHAQ,YWHAZ"
Chondroitin and Dermatan Biosynthesis	0.83	0.333	#NUM!	"CHPF,CHPF2"
Rapoport-Luebering Glycolytic Shunt	0.83	0.333	#NUM!	"MINPP1,TIGAR"
Pathogen Induced Cytokine Storm Signaling Pathway	0.821	0.135	3.111	"C3,CCL20,CCL24,CD163,CGAS,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,CXCL12,CXCL16,CXCL5,FOS,FTL,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,IL18,IL1B,IL1R2,IL1RN,IL23R,IL33,IL6ST,IRF3,JUN,LYST,MLKL,MYD88,NGFR,NLRC4,RIPK3,SLC2A1,SLC2A3,SLC2A8,SRGN,STAT4,STING1,STX11,STXBP2,TGFB1,TLR8,TNFRSF10B,TNFRSF1B,UNC13D"
Cellular Effects of Sildenafil (Viagra)	0.821	0.147	#NUM!	"ACTB,ADCY3,GNAS,ITPR2,ITPR3,KCNN4,MPRIP,MYH14,MYH4,MYL6,MYL9,MYLK,MYO10,PDE3A,PDE4D,PDIA3,PLCB1,PLCB3,PLCZ1,PPP1R12A,PPP1R12B,PRKAR1B"
Endocannabinoid Developing Neuron Pathway	0.821	0.15	2.183	"ADCY3,AKT3,ATF2,CREB3L4,GNB1,GNB1L,GNB3,GNG11,GNG4,MAP2K3,MAP2K6,PIK3C3,PIK3CB,PIK3R2,PRKAR1B,RAP1A,RAP1B,RAP2A,RRAS"
Granulocyte Adhesion and Diapedesis	0.815	0.143	#NUM!	"CCL20,CCL24,CCR10,CLDN18,CLDN2,CLDN8,CXCL12,CXCL16,CXCL5,IL18,IL1B,IL1R2,IL1RN,IL33,ITGB2,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,NGFR,RDX,SDC2,SELL,THY1,TNFRSF1B"
FLT3 Signaling in Hematopoietic Progenitor Cells	0.812	0.159	3.051	"AKT3,ATF2,CREB3L4,ELK1,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,STAT4"
GADD45 Signaling	0.81	0.167	0	"ATR,CCND2,CDK1,CDK2,FOXO3,IL1B,MAP2K3,MAP2K6,TGFB1,TP53"
Cardiac Hypertrophy Signaling (Enhanced)	0.804	0.131	3.75	"ACE,ADCY3,AKT3,ATF2,ATF6,CHP1,CHUK,CYBB,DIAPH1,DLG1,DVL3,EIF2B4,ELK1,FZD5,FZD6,FZD7,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HDAC5,HSPB7,IL13RA1,IL18,IL1B,IL1R2,IL33,IL6ST,ITGA2B,ITGB2,ITGB4,ITGB5,ITPR2,ITPR3,JUN,MAP2K3,MAP2K6,MAP3K6,MAPKAPK3,MKNK1,NFATC3,NGFR,PDE3A,PDE4D,PDE7A,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PLN,PRKAR1B,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,TGFB1,TNFRSF1B,WNT2B,WNT5A"
Natural Killer Cell Signaling	0.796	0.141	4.536	"AKT3,COL2A1,FCER1G,FCGR3A/FCGR3B,FYN,HLA-A,HSPA14,HSPA6,HSPA8,IL18,MAP2K3,MAP3K6,MYD88,NFATC3,PAK6,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,STAT4,TRAF6,TYROBP,VAV1,WIPF1"
IL-23 Signaling Pathway	0.796	0.174	2.828	"AKT3,IL1B,IL23R,PIK3C3,PIK3CB,PIK3R2,RUNX1,STAT4"
Remodeling of Epithelial Adherens Junctions	0.79	0.162	#NUM!	"ACTB,ACTN1,ACTN2,ACTN4,RAB5B,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1"
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	0.767	0.149	2.668	"ATF2,ATP6V0A2,ATP6V1G1,BAX,JUN,LCAT,MAP2K3,MAP2K6,PLA2G12B,PLA2G2A,PNPLA8,PTGS2,RAP1A,RAP1B,RAP2A,RRAS,TCIRG1"
Clathrin-mediated Endocytosis Signaling	0.759	0.139	#NUM!	"ACTB,AP1M1,AP1S1,AP1S2,AP1S3,AP5M1,AP5Z1,APOC4,CHP1,CSNK2A1,CSNK2A2,HSPA8,ITGB2,ITGB4,ITGB5,LDLR,LPA,LYZ,MYO6,ORM1,PIK3C3,PIK3CB,PIK3R2,PIP5K1C,RAB5B,S100A8,SERPINA1,SH3BP4,TF"
Type II Diabetes Mellitus Signaling	0.759	0.144	1	"ACSL1,AKT3,CEBPB,CHUK,ENPP7,IRS2,ITPR2,ITPR3,NGFR,PIK3C3,PIK3CB,PIK3R2,PKLR,PKM,PRKAA2,PRKAB1,PRKCE,PRKCG,PRKCI,SLC27A6,SMPD4,TNFRSF1B"
Reelin Signaling in Neurons	0.75	0.145	2.065	"AFDN,AKT3,ARHGEF18,ARHGEF2,CDH2,FGR,FYN,HCK,MAP2K3,MAP2K6,MAP4K1,MAPT,NDEL1,PDK4,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,WASF1"
Methionine Degradation I (to Homocysteine)	0.75	0.192	1.342	"AHCYL2,EEF1AKMT4,FTSJ1,MRM2,SUV39H2"
CDK5 Signaling	0.745	0.148	0.728	"ADCY3,GNAS,MAPT,NGFR,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B,RAP1A,RAP1B,RAP2A,RRAS"
Sperm Motility	0.738	0.136	1.5	"AXL,EPHA2,ERBB2,FGR,FLT1,FYN,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HCK,ITPR2,ITPR3,KIT,LCAT,MAP2K3,MAP2K6,PDE4D,PDGFRB,PDIA3,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PLCZ1,PNPLA8,PRKAR1B,PRKCE,PRKCG,PRKCI,ROR2"
Lymphotoxin β Receptor Signaling	0.733	0.164	2.333	"AKT3,CHUK,PIK3C3,PIK3CB,PIK3R2,TRAF1,TRAF3,TRAF5,TRAF6"
Triacylglycerol Biosynthesis	0.733	0.164	3	"AGPAT2,AGPAT4,AGPAT5,CRLS1,GPAT4,LPCAT1,LPGAT1,LPIN3,PLPP5"
Glucose and Glucose-1-phosphate Degradation	0.73	0.231	#NUM!	"HK3,PGM5,RGN"
NAD Phosphorylation and Dephosphorylation	0.73	0.231	#NUM!	"ACP1,ACP5,ACP6"
Eicosanoid Signaling	0.73	0.157	1.633	"ALOX5AP,DPEP1,HPGDS,LCAT,LTB4R,LTC4S,PLA2G12B,PLA2G2A,PNPLA8,PTGS2,TBXAS1"
CDX Gastrointestinal Cancer Signaling Pathway	0.726	0.139	-1.89	"AKT3,BLM,CA1,CDK2,CDX2,CHUK,CYBB,FOS,FZD5,FZD6,FZD7,GATA6,HNF1A,IL18,IL1B,IL33,JUN,MUC2,NCF2,PIK3C3,PIK3CB,PIK3R2,PTGS2,TCF3,TCF7L2,TGFB1,WNT2B,WNT5A"
Pyroptosis Signaling Pathway	0.721	0.151	1.604	"BAX,CASP4,ELAVL1,FOXO3,GBP4,GBP5,IL18,IL1B,NGFR,NLRC4,PRKAR1B,TLR8,TNFRSF1B,TRAF3"
Glycogen Biosynthesis II (from UDP-D-Glucose)	0.717	0.286	#NUM!	"EPM2A,UGP2"
Glycoaminoglycan-protein Linkage Region Biosynthesis	0.717	0.286	#NUM!	"B3GALT6,B4GALT7"
IL-7 Signaling Pathway	0.717	0.154	2.111	"AKT3,BAX,CDK2,FOXO3,FYN,JUN,MCL1,PIK3C3,PIK3CB,PIK3R2,SLC2A1,SOS2"
Inflammasome pathway	0.706	0.2	2	"IL18,IL1B,MYD88,NLRC4"
CSDE1 Signaling Pathway	0.701	0.161	2.121	"AGO3,AKT3,CDK11B,FOS,FUS,PUM1,SYNCRIP,TGFB1,TNC"
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	0.697	0.149	2.673	"ACTB,AKT3,FCGR3A/FCGR3B,FGR,FYB1,FYN,HCK,PIK3R2,PIP5K1A,PRKCE,PRKCG,PRKCI,RPS6KB2,VAV1"
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	0.69	0.152	2.309	"ATF2,BAX,IL1B,JUN,LCAT,MAP2K3,MAP2K6,MYD88,PLA2G12B,PLA2G2A,PNPLA8,PTGS2"
Cardiac Hypertrophy Signaling	0.68	0.134	2.263	"ADCY3,ATF2,CHP1,EIF2B4,ELK1,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,JUN,MAP2K3,MAP2K6,MAP3K6,MAPKAPK3,MYL6,MYL9,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,TGFB1"
Basal Cell Carcinoma Signaling	0.674	0.153	1.265	"AXIN1,DVL3,FZD5,FZD6,FZD7,HNF1A,TCF3,TCF7L2,TP53,WNT2B,WNT5A"
CNTF Signaling	0.67	0.158	1.667	"IL6ST,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS"
Sumoylation Pathway	0.668	0.146	0.535	"CTBP1,DAXX,DNMT3A,FOS,JUN,RFC2,RFC5,RHOB,RHOT1,SENP3,SLC19A1,SUMO1,TDG,TP53,UBA2"
LPS/IL-1 Mediated Inhibition of RXR Function	0.666	0.134	0.707	"ACOX1,ACSL1,ALAS1,ALDH1A1,APOC4,CHST12,CHST4,CHST5,FABP1,FABP4,FABP5,FABP6,FMO3,GSTM1,GSTM2,GSTM5,GSTO2,HMGCS2,IL18,IL1B,IL1R2,IL1RN,IL33,JUN,MGST1,MYD88,NDST1,NGFR,SLC27A6,SULT1A2,SULT1A3/SULT1A4,SULT2B1,TNFRSF1B,TRAF6"
Multiple Sclerosis Signaling Pathway	0.664	0.135	3.651	"BAX,C2,C3,DUSP6,EZH2,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,IL18,IL1B,IL33,MBP,MMP9,MPO,NCOA3,PARP10,PARP12,PARP16,PLAU,PLP1,RNF213,SLC8A1,SLC8B1,TGFB1,TLR8,YY1"
Ethanol Degradation II	0.664	0.171	-1.633	"ACSL1,ADH1B,ADH1C,ADH5,ADH6,ALDH1A1"
Assembly of RNA Polymerase III Complex	0.662	0.214	#NUM!	"BRF1,GTF3C3,POLR3D"
Colanic Acid Building Blocks Biosynthesis	0.662	0.214	#NUM!	"GALE,MPI,UGP2"
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	0.66	0.5	#NUM!	UXS1
Epoxysqualene Biosynthesis	0.66	0.5	#NUM!	SQLE
All-trans-decaprenyl Diphosphate Biosynthesis	0.66	0.5	#NUM!	PDSS1
Flavin Biosynthesis IV (Mammalian)	0.66	0.5	#NUM!	FLAD1
Xanthine and Xanthosine Salvage	0.66	0.5	#NUM!	LACC1
L-glutamine Biosynthesis II (tRNA-dependent)	0.66	0.5	#NUM!	GATB
Cardiolipin Biosynthesis II	0.66	0.5	#NUM!	PGS1
Formaldehyde Oxidation II (Glutathione-dependent)	0.66	0.5	#NUM!	ADH5
