	Comparison	Taxa	Method	Group	LDA	P.unadj	P.adj	Significance
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. zg-332	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. zg-332	LEfSe	1	0.593706082	8.31E-07	8.31E-07	***
d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Tetrapisispora|s_Tetrapisispora phaffii	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Tetrapisispora|s_Tetrapisispora phaffii	LEfSe	1	0.593654045	3.01E-07	3.01E-07	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_NA|g_Terrihabitans	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_NA|g_Terrihabitans	LEfSe	1	0.593509139	0.000675318	0.000675318	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_NA|g_Pengzhenrongella|s_Pengzhenrongella sicca	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_NA|g_Pengzhenrongella|s_Pengzhenrongella sicca	LEfSe	1	0.593113518	1.69E-05	1.69E-05	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Alkalihalobacillus|s_Alkalihalobacillus miscanthi	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Alkalihalobacillus|s_Alkalihalobacillus miscanthi	LEfSe	1	0.592771259	6.49E-05	6.49E-05	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Cupriavidus|s_Cupriavidus campinensis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Cupriavidus|s_Cupriavidus campinensis	LEfSe	1	0.592341364	3.79E-09	3.79E-09	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Radiobacillus|s_Radiobacillus sp. 80	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Radiobacillus|s_Radiobacillus sp. 80	LEfSe	1	0.591996698	6.73E-08	6.73E-08	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Aequorivita|s_Aequorivita sublithincola	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Aequorivita|s_Aequorivita sublithincola	LEfSe	1	0.591847311	3.61E-09	3.61E-09	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus thiaminolyticus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus thiaminolyticus	LEfSe	1	0.591697973	9.24E-08	9.24E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. FSL P4-0081	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. FSL P4-0081	LEfSe	1	0.591282176	3.32E-12	3.32E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. URB8-2	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. URB8-2	LEfSe	1	0.590899899	2.57E-07	2.57E-07	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Ornithobacterium	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Ornithobacterium	LEfSe	1	0.590595768	3.93E-09	3.93E-09	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Fictibacillus|s_Fictibacillus phosphorivorans	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Fictibacillus|s_Fictibacillus phosphorivorans	LEfSe	1	0.590559101	5.27E-08	5.27E-08	***
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Hymenobacteraceae|g_Pontibacter|s_Pontibacter actiniarum	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Hymenobacteraceae|g_Pontibacter|s_Pontibacter actiniarum	LEfSe	1	0.590409477	1.60E-05	1.60E-05	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Radiobacillus|s_Radiobacillus deserti	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Radiobacillus|s_Radiobacillus deserti	LEfSe	1	0.590409477	3.19E-10	3.19E-10	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Roseobacteraceae|g_Thalassococcus|s_Thalassococcus sp. S3	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Roseobacteraceae|g_Thalassococcus|s_Thalassococcus sp. S3	LEfSe	1	0.590409477	3.72E-09	3.72E-09	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Aeromonadales|f_Aeromonadaceae|g_Dongshaea|s_Dongshaea marina	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Aeromonadales|f_Aeromonadaceae|g_Dongshaea|s_Dongshaea marina	LEfSe	1	0.590409477	2.94E-06	2.94E-06	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter sp. RHBSTW-00175	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter sp. RHBSTW-00175	LEfSe	1	0.590321163	1.68E-05	1.68E-05	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Chromobacteriaceae|g_Microvirgula|s_Microvirgula aerodenitrificans	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Chromobacteriaceae|g_Microvirgula|s_Microvirgula aerodenitrificans	LEfSe	1	0.589840683	0.000171079	0.000171079	***
d_Bacteria|p_Acidobacteria|c_Acidobacteriia|o_Acidobacteriales|f_Acidobacteriaceae|g_Granulicella	1 - 2 - 3 - 4	d_Bacteria|p_Acidobacteria|c_Acidobacteriia|o_Acidobacteriales|f_Acidobacteriaceae|g_Granulicella	LEfSe	1	0.589683756	6.38E-07	6.38E-07	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulforapulum	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulforapulum	LEfSe	1	0.58946517	1.64E-07	1.64E-07	***
d_Viruses|p_Pisuviricota|c_Pisoniviricetes|o_Nidovirales|f_Coronaviridae|g_Deltacoronavirus	1 - 2 - 3 - 4	d_Viruses|p_Pisuviricota|c_Pisoniviricetes|o_Nidovirales|f_Coronaviridae|g_Deltacoronavirus	LEfSe	1	0.589410994	6.35E-05	6.35E-05	***
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanosphaera|s_Methanosphaera cuniculi	1 - 2 - 3 - 4	d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanosphaera|s_Methanosphaera cuniculi	LEfSe	3	0.589309064	1.12E-11	1.12E-11	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Aeribacillus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Aeribacillus	LEfSe	3	0.589185054	2.28E-13	2.28E-13	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. IHB B 3084	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus sp. IHB B 3084	LEfSe	3	0.588361656	2.87E-12	2.87E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Brevibacillus|s_Brevibacillus sp. MMS20-4M-10-Y	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Brevibacillus|s_Brevibacillus sp. MMS20-4M-10-Y	LEfSe	3	0.588187333	2.01E-10	2.01E-10	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Pleurocapsales|f_Dermocarpellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Pleurocapsales|f_Dermocarpellaceae	LEfSe	1	0.587972991	2.21E-09	2.21E-09	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Azospirillaceae|g_Azospirillum|s_Azospirillum sp. TSH100	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Azospirillaceae|g_Azospirillum|s_Azospirillum sp. TSH100	LEfSe	1	0.587734232	1.83E-08	1.83E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Mangrovibacillus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Mangrovibacillus	LEfSe	1	0.587665878	4.25E-09	4.25E-09	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces ambofaciens	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces ambofaciens	LEfSe	1	0.587653694	9.66E-05	9.66E-05	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Metabacillus|s_Metabacillus litoralis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Metabacillus|s_Metabacillus litoralis	LEfSe	1	0.586938941	5.42E-10	5.42E-10	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Thermoactinomycetaceae|g_Kroppenstedtia|s_Kroppenstedtia eburnea	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Thermoactinomycetaceae|g_Kroppenstedtia|s_Kroppenstedtia eburnea	LEfSe	1	0.586857256	5.44E-12	5.44E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus sp. NSP9.1	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus sp. NSP9.1	LEfSe	3	0.586408081	4.07E-13	4.07E-13	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces gardneri	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces gardneri	LEfSe	1	0.586364646	0.01724551	0.01724551	*
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Aeribacillus|s_Aeribacillus pallidus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Aeribacillus|s_Aeribacillus pallidus	LEfSe	3	0.586307035	2.28E-13	2.28E-13	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus dendritiformis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus dendritiformis	LEfSe	3	0.586060857	1.10E-12	1.10E-12	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Staphylococcus|s_Staphylococcus caprae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Staphylococcus|s_Staphylococcus caprae	LEfSe	1	0.586017761	3.00E-07	3.00E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Arachnia|s_Arachnia rubra	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Propionibacteriaceae|g_Arachnia|s_Arachnia rubra	LEfSe	1	0.585771325	7.17E-08	7.17E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Marinilactibacillus|s_Marinilactibacillus sp. 15R	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Marinilactibacillus|s_Marinilactibacillus sp. 15R	LEfSe	1	0.585075775	1.81E-08	1.81E-08	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Acetobacteraceae|g_Gluconobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Acetobacteraceae|g_Gluconobacter	LEfSe	1	0.584640988	4.94E-11	4.94E-11	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Oscillatoriales|f_Oscillatoriaceae	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Oscillatoriales|f_Oscillatoriaceae	LEfSe	1	0.58461582	3.40E-09	3.40E-09	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Glaesserella|s_Glaesserella sp. 15-184	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Glaesserella|s_Glaesserella sp. 15-184	LEfSe	1	0.584441452	6.94E-07	6.94E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus badius	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus badius	LEfSe	3	0.584135924	9.25E-11	9.25E-11	***
d_Bacteria|p_Planctomycetes|c_Candidatus Uabimicrobiia|o_Candidatus Uabimicrobiales|f_Candidatus Uabimicrobiaceae|g_Candidatus Uabimicrobium	1 - 2 - 3 - 4	d_Bacteria|p_Planctomycetes|c_Candidatus Uabimicrobiia|o_Candidatus Uabimicrobiales|f_Candidatus Uabimicrobiaceae|g_Candidatus Uabimicrobium	LEfSe	1	0.583686226	1.65E-08	1.65E-08	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Acetobacteraceae|g_Komagataeibacter|s_Komagataeibacter saccharivorans	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodospirillales|f_Acetobacteraceae|g_Komagataeibacter|s_Komagataeibacter saccharivorans	LEfSe	1	0.583610289	6.85E-07	6.85E-07	***
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cytophagaceae|g_Aquirufa	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cytophagaceae|g_Aquirufa	LEfSe	1	0.582549691	2.84E-07	2.84E-07	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Cellvibrionales|f_Microbulbiferaceae|g_Microbulbifer|s_Microbulbifer sp. A4B17	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Cellvibrionales|f_Microbulbiferaceae|g_Microbulbifer|s_Microbulbifer sp. A4B17	LEfSe	1	0.582405815	6.15E-07	6.15E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Vagococcus|s_Vagococcus zengguangii	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Vagococcus|s_Vagococcus zengguangii	LEfSe	1	0.581782536	3.60E-08	3.60E-08	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Syntrophales|f_Syntrophaceae|g_Syntrophus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Syntrophales|f_Syntrophaceae|g_Syntrophus	LEfSe	1	0.581704088	1.65E-07	1.65E-07	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulfosarcina|s_Desulfosarcina alkanivorans	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulfosarcina|s_Desulfosarcina alkanivorans	LEfSe	1	0.581562403	3.63E-06	3.63E-06	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Rhodoferax|s_Rhodoferax antarcticus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Rhodoferax|s_Rhodoferax antarcticus	LEfSe	1	0.581150157	0.001133482	0.001133482	**
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulfobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfobacterales|f_Desulfobacteraceae|g_Desulfobacter	LEfSe	3	0.580799214	6.58E-11	6.58E-11	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Ornithobacterium|s_Ornithobacterium rhinotracheale	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Ornithobacterium|s_Ornithobacterium rhinotracheale	LEfSe	1	0.580630523	3.93E-09	3.93E-09	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter	LEfSe	1	0.580117156	3.01E-05	3.01E-05	***
d_Bacteria|p_Chlorobi|c_Chlorobia|o_Chlorobiales|f_Chlorobiaceae|g_Chlorobaculum|s_Chlorobaculum tepidum	1 - 2 - 3 - 4	d_Bacteria|p_Chlorobi|c_Chlorobia|o_Chlorobiales|f_Chlorobiaceae|g_Chlorobaculum|s_Chlorobaculum tepidum	LEfSe	1	0.579918985	0.000141873	0.000141873	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Myxococcales|f_Vulgatibacteraceae|g_Vulgatibacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Myxococcales|f_Vulgatibacteraceae|g_Vulgatibacter	LEfSe	1	0.579891188	6.43E-07	6.43E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lacticaseibacillus|s_Lacticaseibacillus rhamnosus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lacticaseibacillus|s_Lacticaseibacillus rhamnosus	LEfSe	1	0.579006108	9.61E-06	9.61E-06	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Peribacillus|s_Peribacillus butanolivorans	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Peribacillus|s_Peribacillus butanolivorans	LEfSe	1	0.578829444	1.98E-08	1.98E-08	***
d_Bacteria|p_Bacteroidetes|c_Sphingobacteriia|o_Sphingobacteriales|f_Sphingobacteriaceae|g_Mucilaginibacter|s_Mucilaginibacter xinganensis	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Sphingobacteriia|o_Sphingobacteriales|f_Sphingobacteriaceae|g_Mucilaginibacter|s_Mucilaginibacter xinganensis	LEfSe	1	0.5784973	3.52E-11	3.52E-11	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Methylococcales|f_Methylococcaceae|g_Methylomonas	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Methylococcales|f_Methylococcaceae|g_Methylomonas	LEfSe	3	0.578420429	2.18E-11	2.18E-11	***
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanocellales|f_Methanocellaceae	1 - 2 - 3 - 4	d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanocellales|f_Methanocellaceae	LEfSe	1	0.578338831	3.49E-10	3.49E-10	***
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter avium	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter avium	LEfSe	1	0.578119608	0.00185268	0.00185268	**
d_Bacteria|p_Tenericutes|c_NA|o_NA|f_NA|g_Candidatus Izimaplasma|s_Candidatus Izimaplasma sp. HR1	1 - 2 - 3 - 4	d_Bacteria|p_Tenericutes|c_NA|o_NA|f_NA|g_Candidatus Izimaplasma|s_Candidatus Izimaplasma sp. HR1	LEfSe	3	0.577109626	1.83E-14	1.83E-14	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Zhaonellaceae|g_Zhaonella	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Zhaonellaceae|g_Zhaonella	LEfSe	3	0.576624723	1.67E-12	1.67E-12	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tenuifilaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tenuifilaceae	LEfSe	1	0.576441669	1.65E-07	1.65E-07	***
d_Bacteria|p_Bacteroidetes|c_Sphingobacteriia|o_Sphingobacteriales|f_Sphingobacteriaceae|g_Mucilaginibacter|s_Mucilaginibacter ginkgonis	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Sphingobacteriia|o_Sphingobacteriales|f_Sphingobacteriaceae|g_Mucilaginibacter|s_Mucilaginibacter ginkgonis	LEfSe	1	0.576203625	2.40E-10	2.40E-10	***
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Malaciobacter|s_Malaciobacter halophilus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Malaciobacter|s_Malaciobacter halophilus	LEfSe	1	0.57619939	3.34E-08	3.34E-08	***
d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Pichiaceae|g_Pichia|s_Pichia kudriavzevii	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Pichiaceae|g_Pichia|s_Pichia kudriavzevii	LEfSe	1	0.575644378	0.003735126	0.003735126	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. Chiba101	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. Chiba101	LEfSe	1	0.575638192	5.00E-08	5.00E-08	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Streptosporangiaceae|g_Nonomuraea|s_Nonomuraea nitratireducens	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Streptosporangiaceae|g_Nonomuraea|s_Nonomuraea nitratireducens	LEfSe	3	0.575354401	1.76E-10	1.76E-10	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Geobacillus|s_Geobacillus subterraneus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Geobacillus|s_Geobacillus subterraneus	LEfSe	1	0.575048986	5.81E-11	5.81E-11	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Lysinibacillus|s_Lysinibacillus agricola	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Lysinibacillus|s_Lysinibacillus agricola	LEfSe	1	0.574836094	4.04E-14	4.04E-14	***
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cyclobacteriaceae|g_Cyclobacterium|s_Cyclobacterium marinum	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cyclobacteriaceae|g_Cyclobacterium|s_Cyclobacterium marinum	LEfSe	1	0.574775235	2.49E-07	2.49E-07	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_NA|g_Exiguobacterium|s_Exiguobacterium alkaliphilum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_NA|g_Exiguobacterium|s_Exiguobacterium alkaliphilum	LEfSe	1	0.574768056	3.62E-08	3.62E-08	***
d_Bacteria|p_Acidobacteria|c_Holophagae|o_Acanthopleuribacterales|f_Acanthopleuribacteraceae	1 - 2 - 3 - 4	d_Bacteria|p_Acidobacteria|c_Holophagae|o_Acanthopleuribacterales|f_Acanthopleuribacteraceae	LEfSe	1	0.574170006	1.22E-08	1.22E-08	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Tolypothrichaceae	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Tolypothrichaceae	LEfSe	1	0.573684071	9.11E-09	9.11E-09	***
